Transaction Type,Project Name,Status,Order Creation Date,Order Number,Process Group,ABT_Sch_Compl_Date,ABT_Act_Compl_Date,BD_Act_Compl_Date,Order Actual Sales No Freight,Order Est Weight Tons,Order Eng Manifest Total Tons,Order Actual Shipped Tons,Budget Hours,Actual Hours,Engineering Amt,Order Est Margin No Freight,Order Est Margin % No Freight,Order Actual Margin,Order Actual Margin %,Complexity,ECK_Date,ECK_Lead_Wks,Division,Region
VP/Z-CUSTOM-BLDR,FANCON - SRB LOT 6,CLOSED,2017-03-21,1700289601,EVA,,,2017-05-11,97679.06,34.567,31.4485873,31.4485873,166.85,255.5,33585.58,23907.81,24.48,18634.57,19.08,Moderate (100-200),2017-05-11,,VP,VNO
VP/Z-CUSTOM-BLDR,FANCON - STORAGE A - PRR - FIN,CLOSED,2015-06-02,1500961001,EVA,,,2015-07-09,60439.62,21.6035,21.101914345,21.101914345,96.8,71.5,17938.68,13746.7,22.74,19109.35,30.67,Simple (<=100),2015-07-07,,VP,VNO
VP/Z-CUSTOM-BLDR,FANCON - STORAGE B - SSR,CLOSED,2015-07-10,1501028101,EVA,,,2015-08-13,110656.21,39.7515,42.09461429,42.09461429,96.8,70,17938.68,16228.54,14.67,23614.65,20.82,Simple (<=100),2015-08-12,,VP,VNO
VP/Z-CUSTOM-BLDR,FANCON - STORAGE C - SSR,CLOSED,2015-06-23,1501004001,EVA,,,2015-08-06,74597.68,23.0995,24.52048326,24.52048326,96.8,90,17938.68,15572.13,20.87,18240.31,23.86,Simple (<=100),2015-08-05,,VP,VNO
VP/Z-CUSTOM-BLDR,FARM & FLEET TRAVERSE CITY,CLOSED,2018-04-20,1802896001,EVA,2018-07-10,2018-07-10,2018-08-23,222361.85,46.453,72.647298435,72.647298435,611.9,780,97837,87898,39.53,10078.82,4.37,High Complex (400-800),2018-08-23,,VP,VNO
VP/Z-CUSTOM-BLDR,"FARM AND FLEET - WALKER, MI",CLOSED,2019-08-07,1901476601,EVA,,,2019-11-22,391631.1,128.212,146.38914714,146.38914714,555.34,603.5,128284.5,103071,26.32,78647.92,19.56,High Complex (400-800),2019-11-20,15,VP,VNO
VP/Z-CUSTOM-BLDR,FARM AND FLEET OF HOLLAND,CLOSED,2018-11-14,1804523501,EVA,,,2019-01-17,201015.85,49.142,73.081258435,73.081258435,565.5,39.5,130637.66,56640,28.18,80225.35,38.76,High Complex (400-800),2019-01-16,,VP,VNO
VP/Z-CUSTOM-BLDR,FARMERS & BUILDERS ACE,CLOSED,2016-05-25,1601150401,NC,2016-07-05,,2016-08-16,81105.43,27.3275,25.98768132,25.98768132,150.36,162.25,29993.83,20129.78,24.82,14926.42,17.73,Moderate (100-200),2016-08-11,,VP,VSO
VP/Z-CUSTOM-BLDR,FARMERS BREWING COMPANY,CLOSED,2018-10-30,1804200201,VIS,2018-12-11,2018-12-11,2019-01-11,183539.84,64.1135,62.99974752,62.99974752,215.53,277.92,49787.96,40806.37,22.23,40037.96,21.81,Complex (200-400),2019-01-10,10.2857142857143,VP,VWE
VP/Z-CUSTOM-BLDR,FARMERS COOP_RAYMOND 46636,CLOSED,2015-09-10,1501588001,STJ,,2015-09-30,2015-10-14,99312.55,37.43,39.6746453,39.6746453,52,46.25,9633,22465.18,22.62,21499.2,21.01,Simple (<=100),2015-10-12,,VP,VWE
VP/Z-CUSTOM-BLDR,FARMERS IMPLEMENT,CLOSED,2018-04-03,1802700701,MXC,2018-05-14,2018-05-14,2018-06-29,42565.2,10.7395,11.030539075,11.030539075,61.66,99.5,12300.62,14389.87,33.81,11347.49,25.57,Simple (<=100),2018-06-28,,VP,VNO
VP/Z-CUSTOM-BLDR,FARMERS SUPPLY 4-22 1:43,CLOSED,2015-04-29,1500686501,AR,,,2015-05-14,13272.99,3.2975,3.28096999,3.28096999,39.5,14,7317.38,3016.09,22.72,4662.33,32.02,Simple (<=100),2015-05-12,,VP,VSO
VP/Z-CUSTOM-BLDR,FARMINGTON,CLOSED,2015-09-23,1501682901,IN,,,2015-11-09,74946.82,29.017,24.682578575,24.682578575,162.1,109.4,30021.61,17237.4,23,33366.25,42.03,Moderate (100-200),2015-11-06,,VP,VWE
VP/Z-CUSTOM-BLDR,FARRIER 2015 ADDITION (REV 6-2,CLOSED,2015-07-29,1501309901,NC,2015-09-01,2015-09-02,2015-09-25,73045.82,24.3235,26.701132585,26.701132585,88.9,116.25,15931.5,16750.24,22.93,15656.09,20.73,Simple (<=100),2015-09-23,,VP,VSO
VP/Z-CUSTOM-BLDR,FARRIOR & SONS - CAROLINA EAGL,CLOSED,2015-09-04,1501508101,NC,2015-09-29,,2015-10-15,55038.61,24.9695,24.768653985,24.768653985,64.5,107,11948.62,10791.48,19.61,6529.05,10.93,Simple (<=100),2015-10-12,,VP,VSO
VP/Z-CUSTOM-BLDR,"FASCO FLOORING FEB 23, 2015",CLOSED,2015-02-24,1500316401,EVA,,2015-04-27,2015-05-28,279584.62,131.0375,128.41482954,128.41482954,141.1,366.75,27026.69,56980.16,20.38,44366.79,15.87,Moderate (100-200),2015-05-19,,VP,VNO
VP/Z-CUSTOM-BLDR,FAST LANE AUTO AUCTION,CLOSED,2017-09-20,1702238701,IN,,2017-10-02,2017-10-16,68373.51,29.877,30.44118665,30.44118665,37.53,29,7487.33,11254.97,16.46,10922.18,15.17,Simple (<=100),2017-10-12,,VP,VNO
VP/Z-CUSTOM-BLDR,"FASTENAL BRADLEY, IL",CLOSED,2016-12-22,1602888901,EVA,,,2017-02-15,113967.96,32.681,35.25552771,35.25552771,131.25,133.25,26184.65,29464.8,25.85,30220.3,25.86,Moderate (100-200),2017-02-15,,VP,VNO
VP/Z-CUSTOM-BLDR,FASTENAL DUQUESNE-PAPIT-DQPA,CLOSED,2016-04-19,1600915001,EVA,,,2016-06-20,93905.35,32.6955,36.909729755,36.909729755,121.55,237.45,26748.23,9234.88,9.83,2454.84,2.52,Moderate (100-200),2016-06-20,,VP,VNO
VP/Z-CUSTOM-BLDR,FASTENAL KATY BRANCH - FINAL O,CLOSED,2018-11-07,1804447401,EVA,,,2019-02-28,168192.35,47.9285,48.499297455,48.499297455,241.3,403.55,55732.79,47974,28.52,29374.01,16.45,Complex (200-400),2019-02-27,16,VP,VNO
VP/Z-CUSTOM-BLDR,FASTENAL LEE'S SUMMIT MOKC2 LS,CLOSED,2016-04-29,1601011601,EVA,,,2016-06-30,82415.91,27.524,26.151851675,26.151851675,73.83,145.85,14729.08,26762.19,32.47,20702.05,24.12,Simple (<=100),2016-06-29,,VP,VNO
